idx_1,idx_2,ref_clus,ref_frac,max_sim,max_clus,max_frac,sim_mn,sim_sd,percentile_max_sim
0,1,"Love Distractions, Inwardly Inspired, Monotasker, Collaborator, Stimulated By Constraints",0.00041603827552134795,0.35812939334510085,"Solo Creator, Reframer, Private, Internally Motivated, Let It Happen",0.10675096394582587,0.25770961987145596,0.0779641904501337,0.8232323232323232
0,1,"Love Distractions, Inwardly Inspired, Specialist, Early Bird, Rational",0.0005423356091617572,0.43770182839658156,"NonKinetic, Urban, Pragmastist, Inwardly Inspired, Stimulated By Constraints",0.00026745317712086655,0.2845187138050753,0.08513856974170671,0.8905723905723906
0,1,"Love Distractions, Organized, Risk Averse, Monotasker, Generalist",0.0002823116869609147,0.3394595397364245,"Make It Happen, Public, Risk Averse, Internally Motivated, Intuitive",0.00042346753044137205,0.23266719936591007,0.06509509067151044,0.7895622895622896
0,1,"Make It Happen, Rational, Collaborator, Monotasker, Outwardly Inspired",0.0004606138050414924,1.0,"Make It Happen, Rational, Collaborator, Monotasker, Outwardly Inspired",0.0004606138050414924,0.2861550981118088,0.14940105032030052,0.9960718294051627
0,1,"Monotasker, Generalist, Night Owl, Hate Distractions, Urban",0.00011886807872038514,1.0,"Monotasker, Generalist, Night Owl, Hate Distractions, Urban",0.00011886807872038514,0.17784285157001145,0.15889034611754765,0.9960718294051627
0,1,"Monotasker, Intuitive, Solo Creator, Noise/Music, Risk Friendly",0.0003343164714010832,1.0,"Monotasker, Intuitive, Solo Creator, Noise/Music, Risk Friendly",0.0003343164714010832,0.24244355402557463,0.1481693916725,0.9960718294051627
0,1,"Monotasker, Novelty Seeker, Silence, Solo Creator, Hate Distractions",0.06980527922854617,0.7285335367667467,"Novelty Seeker, Night Owl, Monotasker, Externally Motivated, Solo Creator",0.04941940372800012,0.4023518903085998,0.18642026488663094,0.9915824915824916
0,1,"Multitasker, Silence, Collaborator, Novelty Seeker, Generalist",0.0269756246146074,0.7305875997875071,"Multitasker, Silence, Collaborator, Novelty Seeker, Risk Friendly",0.07798488889549267,0.4010923614037173,0.17595943279807305,0.9921436588103255
0,1,"Night Owl, Internally Motivated, Generalist, Inwardly Inspired, Collaborator",0.002065332867766692,0.5730023751063495,"Night Owl, Pragmastist, Noise/Music, Outwardly Inspired, Controlled Chaos",0.006032554995059545,0.359164123466879,0.10333101524444799,0.9461279461279462
0,1,"Night Owl, Reframer, Risk Averse, Internally Motivated, Perfectionist",0.0004531845501214683,0.3872109664579801,"Risk Averse, Noise/Music, Reframer, Internally Motivated, Rational",0.002837975379449195,0.24906315677573648,0.07905141224639312,0.8574635241301908
0,1,"Night Owl, Risk Friendly, Novelty Seeker, Pragmastist, Internally Motivated",8.915105904028885e-05,0.24621824205093545,"Monotasker, Generalist, Night Owl, Hate Distractions, Urban",0.00011886807872038514,0.1138084835599713,0.04594305439979821,0.5117845117845118
0,1,"Noise/Music, Solo Creator, Night Owl, Stifled By Constraints, Pragmastist",0.02918211332585455,0.7155318410620414,"Novelty Seeker, Night Owl, Monotasker, Externally Motivated, Solo Creator",0.04941940372800012,0.4091705928444157,0.17641183446890613,0.989337822671156
0,1,"Noise/Music, Stifled By Constraints, Outwardly Inspired, Tenacious, Night Owl",0.0006686329428021664,0.4065601697463508,"Night Owl, Pragmastist, Noise/Music, Outwardly Inspired, Controlled Chaos",0.006032554995059545,0.2700116776055364,0.07614980047967883,0.8692480359147026
